2025-03-08T14:04:12.173 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:04:12.183 +0530 [V]  - Notification: id-2131493407, Duplicate Notification, package-com.transsnet.store, title-Strategy & Tactics: WW2, text-Tap Install, flags-16, INFO
2025-03-08T14:04:13.144 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:04:13.144 +0530 [V]  - lastNotificationReceivedTime = 1741422853142, INFO
2025-03-08T14:04:13.149 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:04:13.163 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:04:13.178 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:04:13.181 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:04:13.163 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:04:13.641 +0530 [V]  - lastNotificationReceivedTime = 1741422853641, INFO
2025-03-08T14:04:13.650 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:04:13.654 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:04:13.660 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:04:13.661 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:04:13.673 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:04:13.680 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:04:14.238 +0530 [V]  - lastNotificationReceivedTime = 1741422854236, INFO
2025-03-08T14:04:14.241 +0530 [V]  - Music controllers is not empty, INFO
